,"Country,Other",TotalCases,NewCases,TotalDeaths,NewDeaths,TotalRecovered,NewRecovered,ActiveCases,"Serious,Critical",Tot Cases/1M pop,Deaths/1M pop,TotalTests,Tests/ 1M pop ,Population,Continent,1 Caseevery X ppl,1 Deathevery X ppl,1 Testevery X ppl,New Cases/1M pop,New Deaths/1M pop,Active Cases/1M pop
164,Saint Lucia,21535,22,341,,18940,1099,2254,1,116424,1844,129267,698854,184970,North America,9,542,1,119,,12186
165,Burkina Faso,20683,4,372,,20227,,84,,948,17,245242,11240,21819394,Africa,1055,58654,89,0,,4
166,Timor-Leste,20501,98,122,,19768,19,611,14,15090,90,236137,173808,1358607,Asia,66,11136,6,72,,450
167,Taiwan,19192,49,851,,17100,66,1241,,803,36,10656600,446148,23885783,Asia,1245,28068,2,2,,52
168,Brunei,18152,368,98,,16178,23,1876,1,40866,221,705356,1587985,444183,Asia,24,4532,1,828,,4223
169,New Zealand,17988,215,53,,15228,27,2707,,3596,11,6168565,1233195,5002100,Australia/Oceania,278,94379,1,43,,541
170,Nicaragua,17709,,217,,4225,,13267,,2623,32,,,6750670,North America,381,31109,,,,1965
171,Tajikistan,17351,4,124,,17203,8,24,,1756,13,,,9880167,Asia,569,79679,,0,,2
172,South Sudan,16851,18,137,,13077,,3637,1,1478,12,325097,28508,11403724,Africa,677,83239,35,2,,319
173,Hong Kong,16022,614,213,,13232,107,2577,,2110,28,34860499,4590334,7594327,Asia,474,35654,0,81,,339
174,Cayman Islands,15934,,16,1,8553,,7365,6,237974,239,215963,3225398,66957,North America,4,4185,0,,15,109996
175,Equatorial Guinea,15850,5,182,,15539,18,129,5,10734,123,273437,185177,1476625,Africa,93,8113,5,3,,87
176,Djibouti,15524,14,189,,15301,10,34,,15355,187,276724,273717,1010986,Africa,65,5349,4,14,,34
177,CAR,14023,,110,,6859,,7054,2,2825,22,81294,16376,4964085,Africa,354,45128,61,,,1421
178,Gibraltar,13740,85,101,,12557,147,1082,3,408018,2999,496695,14749666,33675,Europe,2,333,0,2524,,32131
179,San Marino,13571,687,109,,12258,1126,1204,2,398619,3202,129050,3790571,34045,Europe,3,312,0,20179,,35365
180,Grenada,12872,10,211,,12136,133,525,,113552,1861,129263,1140308,113358,North America,9,537,1,88,,4631
181,Gambia,11880,,364,,11461,,55,4,4705,144,135608,53702,2525176,Africa,213,6937,19,,,22
182,Yemen,11166,,2028,,7183,,1955,23,362,66,265253,8591,30876316,Asia,2765,15225,116,,,63
183,Bermuda,11058,137,119,1,10628,296,311,,178614,1922,769510,12429494,61910,North America,6,520,0,2213,16,5023
184,Greenland,10821,,6,,2761,,8054,15,190082,105,164926,2897098,56928,North America,5,9488,0,,,141477
185,Liechtenstein,9764,92,74,,9338,396,352,1,254915,1932,80413,2099392,38303,Europe,4,518,0,2402,,9190
186,Dominica,9722,,51,,8666,,1005,,134520,706,152095,2104480,72272,North America,7,1417,0,,,13906
187,Eritrea,9644,7,101,1,9387,11,156,,2660,28,23693,6536,3624951,Africa,376,35891,153,2,0,43
188,Saint Martin,9439,,61,,1399,,7979,7,237632,1536,78366,1972911,39721,North America,4,651,1,,,200876
189,Sint Maarten,9407,11,82,1,8907,44,418,10,215485,1878,62056,1421510,43655,North America,5,532,1,252,23,9575
190,Monaco,8808,38,46,,8479,88,283,4,221937,1159,54960,1384836,39687,Europe,5,863,1,957,,7131
191,Niger,8691,5,303,1,8179,21,209,1,339,12,220221,8600,25606234,Africa,2946,84509,116,0,0,8
192,Comoros,7964,20,160,,7670,3,134,,8857,178,,,899222,Africa,113,5620,,22,,149
193,Guinea-Bissau,7772,2,158,,6825,34,789,6,3805,77,119997,58754,2042365,Africa,263,12926,17,1,,386
194,Sierra Leone,7628,,125,,,,,,926,15,259958,31562,8236399,Africa,1080,65891,32,,,328
195,Liberia,7346,70,290,,5747,,1309,2,1400,55,139824,26645,5247735,Africa,714,18096,38,13,,249
196,Caribbean Netherlands,7209,,29,,6979,,201,,270883,1090,30126,1132003,26613,North America,4,918,1,,,7553
197,Chad,7155,,190,,4874,,2091,,416,11,191341,11138,17179130,Africa,2401,90416,90,,,122
198,Antigua and Barbuda,6853,,131,,6400,,322,1,69064,1320,18901,190482,99227,North America,14,757,5,,,3245
199,St. Vincent Grenadines,6708,3,99,,6349,179,260,17,60159,888,97310,872704,111504,North America,17,1126,1,27,,2332
200,Bhutan,6300,208,4,,3808,251,2488,,8023,5,1521167,1937289,785204,Asia,125,196301,1,265,,3169
201,Sao Tome and Principe,5912,,71,,5802,27,39,,26198,315,29036,128667,225668,Africa,38,3178,8,,,173
202,British Virgin Islands,5839,,51,,,,,12,191111,1669,98247,3215625,30553,North America,5,599,0,,,12928
203,Turks and Caicos,5789,2,35,,5620,,134,4,146353,885,419792,10612868,39555,North America,7,1130,0,51,,3388
204,Saint Kitts and Nevis,5476,,38,,5247,,191,1,101782,706,65141,1210777,53801,North America,10,1416,1,,,3550
205,St. Barth,3435,,6,,,,,,346096,605,56491,5691788,9925,North America,3,1654,0,,,298942
206,Solomon Islands,3319,137,37,4,1000,868,2282,34,4650,52,5117,7169,713812,Australia/Oceania,215,19292,139,192,6,3197
